File,URL,Time,Weather,Temperature,Humidity,Wind
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,00.40Friday 1 January,Haze.,23ʡC,1012 mbar,No wind
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,01.10,Haze.,23ʡC,1012 mbar,No wind
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,01.40,Haze.,23ʡC,1012 mbar,N/A
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,02.10,Haze.,23ʡC,1011 mbar,No wind
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,02.40,Haze.,23ʡC,1011 mbar,No wind
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,03.40,Haze.,22ʡC,1011 mbar,No wind
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,04.40,Haze.,22ʡC,1011 mbar,No wind
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,05.10,Haze.,22ʡC,1011 mbar,No wind
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,07.10,Fog.,22ʡC,1013 mbar,4 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,07.40,Fog.,22ʡC,1014 mbar,No wind
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,08.10,Fog.,23ʡC,1014 mbar,No wind
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,09.10,Haze.,25ʡC,1015 mbar,No wind
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,09.40,Scattered clouds.,25ʡC,1015 mbar,No wind
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,10.40,Scattered clouds.,27ʡC,1015 mbar,15 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,11.10,Scattered clouds.,28ʡC,1015 mbar,19 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,12.10,Scattered clouds.,29ʡC,1014 mbar,13 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,12.40,Scattered clouds.,28ʡC,1013 mbar,19 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,13.10,Scattered clouds.,28ʡC,1013 mbar,19 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,13.40,Scattered clouds.,29ʡC,1012 mbar,15 km/h
Soupfile_0.txt,https://www.timeanddate.com/weather/india/chennai/historic?month=&year=,14.10,Passing clouds.,29ʡC,1012 mbar,15 km/h
